,nobs,BMI_w0,BMI_Lw,sex_w0,sex_Lw,Gene richness_w0,Gene richness_Lw,M_6_2.4.Dihydroxybutanoic.acid.,M_27_2.Hydroxybutyric.acid,M_22_3.4.Dihydroxybutanoic.acid,M_25_3.Hydroxybutyric.acid,M_28_Alanine,M_30_Arachidonic.acid,M_8_Aspartic.acid,M_19_Cholesterol,M_9_Citric.acid,M_2_Glutamic.acid..3TMS,M_21_Glyceric.acid,M_10_Glycine,M_26_Isoleucine,M_23_Leucine,M_14_Linoleic.acid,M_4_Methionine,M_13_Oleic.acid,M_1_Ornithine,M_11_Palmitic.acid,M_3_Phenylalanine,M_12_Proline,M_24_Serine,M_17_Stearic.acid,M_5_Threonine,M_16_Tyrosine,M_20_Valine,M_212_11.Eicosenoic.acid,M_162_1H.Indole.3.acetic.acid,M_313_1.Monooleoylglycerol,M_54_1.Octadecanol,M_1030_2.3.Dihydroxybutanoic.acid,M_165_2.aminobutyric.acid,M_5856_2.Butenedioic.acid,M_127_2.Ethyl.3.hydroxypropionic.acid,M_210_2.Oxoisovaleric.acid,M_220_3.4.5.Trihydroxypentanoic.acid,M_63_4..1.1.3.3..tetramethylbutyl.phenol,M_96_4.Methyl.2.oxovaleric.acid,M_183_Acetic.acid,M_119_Alpha.ketoglutaric.acid,M_44_Aminomalonic.acid,M_99_Arabinitol,M_86_Arabinofuranose,M_946_Butane..1.2.3.trishydroxy,M_47_Creatinine,M_304_Decanoic.acid,M_51_D.Fructose,M_120_d.Galactose,M_1032_d.Galactose,M_177_d.Glucose,M_242_D.Xylopyranose,M_937_Erythritol,M_39_Erythronic.acid,M_81_Ethanolamine,M_88_Galactonic.acid,M_108_Glucopyranose,M_233_Glucopyranose,M_362_Glucopyranose,M_62_Glycerol,M_50_Glycerol.2.phosphate,M_958_Glycoside..?.methyl,M_46_Hexadecanoic.acid..2.3.dihydroxy,M_75_Hydrocinnamic.acid,M_31_Lactic.acid,M_76_Lauric.acid,M_230_L.Cysteine,M_159_Levoglucosan,M_211_Linolenic.acid,M_64_L.Proline..5.oxo,M_303_L.Proline..5.oxo,M_140_l.Threonine,M_208_L.Tryptophan,M_318_Malic.acid,M_274_monostearin,M_98_Myo.Inositol,M_116_Myristic.acid,M_83_Nonanoic.acid,M_265_Octanoic.acid,M_181_Palmitelaidic.acid,M_279_Pentitol..3.desoxy,M_234_Phenylalanine..dl,M_132_Phosphoric.acid.monomethyl.ester,M_103_Proline..4.hydroxy,M_200_Proline..4.hydroxy...trans.,M_191_Pyruvic.acid,M_65_Ribonic.acid,M_932_Ribonic.acid,M_123_Tryptophan,M_71_Tyrosine,M_1035_Urea,M_938_Xylitol,M_250_alpha.Hydroxyvaleric.acid,M_43_beta.D.Galactofuranose,M_298_beta.Hydroxyisovaleric.acid
0,11,18.1,8,0,0.5,487605,200000,0.4295439129792226,0.002822717,0.12437746205543374,-0.224639647,0.40074989515109183,-0.212017933,-0.413639838,-0.212941325,0.42247450425722366,0.004348453,-0.445057918,0.10529226933554686,-0.230967319,-0.353571083,0.11482304702203999,0.23154970477392978,0.058127463721288034,0.2543410281132598,0.15651872693050217,-0.119017566,-0.138155365,-0.155609116,0.09369977,0.6525332356149203,0.11132806079311591,-0.037073881,0.022620437547263908,-0.146377724,-0.377676806,0.049731549,-0.134900043,-0.198886898,0.21974937241265668,0.41284668751271497,0.3650094802700018,-0.306348635,0.062080619148970645,0.11841474922305852,0.19414553265677514,0.4229009170154928,-0.251433397,0.1537169015376913,0.5012760329345953,-0.156510262,0.1741719935529102,-0.274723028,-0.021617505,0.094639369,0.090555862,-0.062083855,-0.066454377,0.050607329,0.17995261378731844,0.14172043896241365,-0.041710337,-0.403973965,-0.419804551,0.1640634349895086,-0.087917774,0.21968500954337183,-0.125318175,-0.067149003,0.3225634969837108,0.2530852841707381,-0.021511887,-0.074892617,-0.073413901,-0.080088209,0.044256408,0.11703797728756044,0.3926761251686545,-0.169232708,0.4553531686551126,-0.024941276,-0.089109023,0.067205723,-0.271505046,0.025514620064335802,-0.032447398,0.3794554207440781,0.062586115,-0.298535479,-0.089580967,-0.033888188,0.35014192284816525,-0.0331061,0.4061879869254529,0.21401259225544267,0.086506917,-0.170292412,0.041403606,0.4507253934706319,-0.466882421,-0.061688949
1,11,18.1,8,0,0.5,537605,200000,0.3093483414050008,0.066335338,0.19960610942882642,-0.144880175,0.3616336762871934,0.091128351,-0.576142813,-0.199371789,0.39026271733304235,0.040219325326260824,-0.431196543,0.24080126590417822,-0.329172889,-0.48662478,0.3637516372901538,0.10262571601212897,0.19125965993614039,0.16390821242748316,0.3369394410092699,-0.169228858,-0.096575256,-0.24243367,0.2776988857041376,0.41445037393201556,-0.023673569,-0.065990993,0.057321545952411374,-0.126968819,-0.14792557,0.079769253,-0.050082437,-0.131830069,0.19337110215674097,0.41420029552505344,0.3300108675390975,-0.285775429,0.085162304,0.131244163,0.055261042,0.37075672640118296,-0.196351433,0.073963234,0.5192365708115853,-0.161389447,0.22426015540216182,-0.092099088,0.14457104877131324,0.055361276,0.12785882424619546,-0.049399402,-0.112419799,0.058262209,0.27876904674237996,0.08811343,-0.010982404,-0.393269113,-0.396457199,-0.04660844,-0.158354039,0.24561297530604445,-0.187597516,-0.080769467,0.295584238,0.24443229241225206,0.03619627,-0.137386921,-0.063788218,0.014146747589693143,0.13525379372583135,0.059004,0.37698859495303566,-0.218274599,0.4325251776097802,-0.001984261,-0.003492148,0.2107498734779039,0.077337948,0.14040114931361114,0.072717619,0.37585659326618315,0.1466328217476916,-0.270826057,-0.158710112,-0.038071037,0.2632712139969844,0.037247509,0.31242073433067885,0.28274416304243766,0.035844444,-0.100613642,-0.057926117,0.30153324038541746,-0.448903426,0.072447414
2,18,18.1,8,0,0.5,587605,200000,0.16849921671721052,0.026889234,0.081000208,-0.145852245,0.3756643041165586,-0.015763924,0.005461663,-0.178943992,0.19229894595514557,0.19084844083660654,-0.130398707,0.18964350052977358,-0.242710745,-0.373969246,0.05239198,0.15120262015510977,0.049827162664211666,0.15283539102636412,0.14438194727008608,-0.096590698,-0.021232136,-0.079649042,0.090666598,0.22796922159574057,-0.030848816,-0.149263398,-0.006991301,0.030774164968870532,-0.155928487,0.12138296694538306,0.024820443541687845,-0.05287401,0.045992816,0.1378839089706705,0.077612403,-0.307819414,0.041469069,0.11079450201784424,0.040445465,0.23308906885679392,-0.029308605,0.12003784557491004,0.4164398916660885,-0.027634224,0.27577659299348534,-0.125841755,0.074661906,-0.082551271,0.11386864396276886,-0.005002712,-0.001741377,-0.088095737,-0.037061374,0.13308060985596332,-0.065001091,-0.319848912,-0.325131779,-0.042489308,-0.140031606,0.082021658,0.052480455,-0.078332281,0.048637941,0.2734249858043335,-0.127030291,0.063543971,0.017744665814584393,-0.0416861,0.11599947927817518,-0.055918477,0.24479763161007853,-0.140194456,0.23643130059485196,-0.031979656,0.006082049,-0.017132023,0.1638399667486444,0.10104391430728651,0.11788484434742647,0.17981098101145376,0.092507078,-0.282544815,-0.064239753,0.016264108815504247,0.22572421904969675,0.014908796,0.065359269,0.10803785,-0.009212502,-0.153363706,-0.007230684,0.001350076,-0.387724467,0.043602005
3,20,18.1,8,0,0.5,637605,200000,0.1526651330057306,0.1446370466980864,0.1507874378804247,-0.017287136,0.2835360859349563,0.072709043,0.27038568861947965,0.085860651,0.19186245510951272,0.3057948779095595,-0.02126625,0.033697732,-0.065089538,-0.164220259,0.00400808,0.14777222113569632,0.10337965467194932,0.11586907062085557,0.2035193247097344,0.091006779,0.068027704,0.10034894642292042,0.14909225624635772,0.19623008253069676,-0.003183642,-0.10572362,0.023447555692612282,0.033375872,-0.033937806,0.13238441590476743,0.16180186268155805,-0.030863486,-0.019639107,0.079197809,-0.050241981,-0.288314317,0.05405356,0.084395674,0.07853643,0.084518542,-0.063916206,0.045843389,0.16064379393188338,0.030068786,0.15985123659427053,-0.013660431,0.1143193238173599,-0.198851976,-0.167426772,-0.066805845,0.025326653,-0.143131405,0.041195903,0.010683621766792384,-0.07732497,-0.283315204,-0.284231254,-0.069500692,-0.027108696,0.1776817676719079,0.11669848834329773,0.14863721440778083,-0.073352415,0.2796135643011517,-0.127479166,0.062422624562803015,0.098364613,-0.031832301,0.10142197968815833,0.042852608,0.1582582339812897,-0.100929226,0.260994909,0.11078156953322801,0.057268975072966105,0.042142598,0.2568507264256135,0.17775144745615268,0.090988343,0.029879345,-0.021384622,-0.07509367,-0.126070641,-0.059048057,0.13274197238366323,0.09882559,-0.084129703,0.021748144830097287,-0.00629518,-0.154313826,-0.075409665,-0.190061949,-0.219918128,-0.003659113
4,23,18.1,8,0,0.5,687605,200000,0.046923955,0.20206892499645196,0.13425755364055958,0.16627451336508844,0.088172179,0.10063285774018066,0.15323686774457643,0.15503207547600656,0.050042619417064754,0.10681220021539807,0.065149224,0.074589289,0.10621350796520358,0.0824754,-0.06502476,-0.06300384,0.10286747608807109,-0.017717946,0.11514211600202406,-0.045762256,-0.012063283,0.058445648,0.098666075,0.16352496233751185,-0.169520459,0.006142732,0.038992742167783034,0.072791164,0.11830355399275135,0.045465864,0.18489311186518714,0.10222372534611884,-0.066693895,0.05428184,-0.011715611,-0.312941586,0.015419821,0.13662614411386143,-0.079379306,0.035736332,0.043365471,0.15887268638501223,-0.00177308,0.23860123257825347,0.027982224,0.087822009,0.1735571753971309,-0.114300623,-0.124007465,-0.103995087,0.016847001452446782,-0.089569793,0.026480408386777857,-0.041128172,0.05672822,-0.076988848,-0.140714169,0.051001192856029956,0.075812733,0.1324622862358129,0.362517971,0.2785079963140613,-0.16866419,0.13757656276603444,-0.112627032,-0.034682661,0.02111592,-0.019181429,0.10972938557037257,0.040407785,0.052863757,-0.102174403,0.12679852236414155,0.20977349371783482,0.11997926170837588,-0.024164163,0.2858853589204632,0.16757346597321854,0.11044968993888103,0.14176546500735449,-0.016763651,0.060836585,0.025852086608427527,0.034473693,0.00975974,0.1646374476706417,-0.0174774,0.038288508,0.041461029,0.000149569,0.022563405904546974,-0.238068614,0.12162153880060503,0.12161296426998448
5,22,18.1,8,0,0.5,737605,200000,0.034249051,0.18164943016333074,0.11929066198133531,0.1225336645486658,0.07672516,0.018790291,0.1462456787311091,0.15696621184835974,0.024400313395867734,0.1141522816784663,0.050831522,-0.016487763,0.091306021,0.067691313,-0.123152805,0.009599938,0.020430257,0.022248694627140964,0.019581483,0.004753331,-0.000860381,0.095004779,-0.003901863,0.1649831082143436,-0.07944888,-0.010860755,-0.010383355,0.076057381,0.095636466,0.049237997,0.15182670842336637,0.073448076,-0.046933773,0.047363094617165896,-0.0152584,-0.301017117,0.026666474548812602,0.12773791763106473,-0.069910856,0.057587399,0.14821052806318843,0.12537549727103822,-0.023218601,0.2203934595562203,0.028171812432411125,0.076902803,0.1500094002562713,-0.132561563,-0.125110983,-0.221524706,0.024234884405498744,-0.087397456,-0.032147934,-0.076867935,0.052942207895667504,-0.047264199,-0.12338718,0.083796604,0.05816134,0.1254980807904247,0.35235529129289633,0.24429066145242942,-0.174945751,0.12453560549018719,-0.190566364,0.017929595,0.062668289,-0.022821264,0.036762810954370256,0.07221666,0.03369858,-0.040042268,0.11680360089309541,0.19669800488740355,0.098603906,-0.087245651,0.3504254478075184,0.14621466901853342,0.094134346,0.14925568778046935,-0.047246619,0.014559152649980048,0.05326195,0.049769808,0.028088401431633936,0.13294101914483025,0.006273486,-0.000244157,0.016595848199023613,0.006068999,0.023137438,-0.224987781,0.11279950258749666,0.075005692
6,18,18.1,8,0,0.5,787605,200000,0.028659229,0.17735734267615583,0.051164521,0.20311566820658575,-0.007884609,0.072061016,-0.018959644,0.14391912389057684,0.012036882975575702,-0.03128566,0.004203121,0.13033953893235128,0.007064843,0.083986251,0.051518881,-0.085800928,0.1420565141017211,-0.023398132,0.10646959087961672,-0.073450115,-0.085905504,0.033579119,0.13228292814674797,0.090123317,-0.1615204,-0.077362503,0.1731174942376899,-0.040298108,0.059056889,-0.009519676,0.10813990191976981,0.14284503447864436,-0.045120526,0.044748833,0.038301287,-0.135110381,0.044218953,0.024382941,0.013617845,-0.047263549,0.082791382,0.085281497,-0.043819572,0.11123927673568584,-0.178036295,0.083269776,0.15469943629062172,0.047603099200109786,0.003214635,-0.128791157,-0.011840922,0.057809187350755326,-0.090036193,-0.033884038,-0.058281182,0.14342429,0.038579341,0.079103419,0.11300369381393238,0.052778779,0.24514020228357208,0.12487404808703692,-0.161241485,-0.038071217,-0.007201069,-0.134273173,0.018472712017536884,0.10142980705740878,0.12783773953276956,0.16400489702930698,0.007859708,-0.052832075,-0.14912822,0.16414734908768408,0.054688512,0.069941094,0.22501850053287348,0.027298247877066487,0.1573073338947678,0.025267294574936316,0.033439253987536166,0.034276922588365594,0.028770728800437496,0.041145722933311396,-0.11364811,0.084221336,0.017028601443314407,-0.046640336,-0.003627764,0.083588746,-0.039786335,-0.019661385,0.2568066639988061,0.069776159
7,16,18.1,8,0,0.5,837605,200000,-0.00241714,0.19749207703368976,0.094332092,0.2920810581957123,0.003563701,0.075129657,-0.05401836,0.059834421,0.043668091,-0.044695123,0.08737169,0.2357445170101688,0.069182779,0.17748252456166852,0.090875585,-0.093536197,0.1851469874679695,-0.044266132,0.12231648114359595,-0.114267628,-0.213546327,-0.011867086,0.1331717242222864,0.075286754,-0.189858381,0.001183735,0.24514431414239496,-0.002202934,-0.013857226,-0.039371588,0.012804156341986766,0.20356603128523496,-0.052608507,0.046115748370088125,0.1121142101299702,-0.175545592,-0.036266971,0.065655396,0.095066285,0.029825026621416825,0.020118555,0.016223205617001038,0.094931956,0.14486534882254407,-0.194522398,0.1581222996334212,0.12417824339016151,0.12534812885583163,0.11941401374238486,-0.177053961,-0.003492755,0.023214363910902647,-0.159402386,0.067211486,0.008577873,0.066931405,-0.074723356,0.10581578214003325,0.11448968970884577,-0.05708421,0.21750331372961837,0.074004721,-0.215472028,0.021898850529053493,0.077081277,-0.18349176,-0.023445479,0.12875677556244802,0.19559322262443846,0.046988592,0.006035371,-0.079787484,-0.102611435,0.20024807470003764,0.17073552912270706,0.093072061,0.008895577,0.048951287650788045,0.21150402017935865,0.11015253524380494,0.11377800609645194,-0.048562103,-0.005969318,0.003032235,-0.008985154,0.050257847,0.056439749437345976,0.042762437489660465,0.00980411,0.027244426,0.089523136,0.004098478,0.22413607662785873,0.1359230124490977
8,13,18.1,8,1,0.5,437605,200000,0.046161507030734183,-0.032451458,0.067037931,-0.125621347,0.1626849249368701,0.14481280160341256,0.037755011480825273,0.2918616469855392,0.10651704475502351,0.032287341806901626,-0.029374986,0.1907062889916185,0.053573778154656956,0.149428539,0.22576079538420274,-0.037190461,0.18819855365393168,-0.030807504,0.15395951725848345,-0.012055254,0.1808661510953911,0.19172195994966457,0.18802482470786158,0.11634062813317847,0.11062813024987725,0.046625110567040204,0.066246446,-0.12955445,0.11650263488269863,0.11548177522739497,0.14271611105464338,0.19147787818360387,-0.273727511,-0.091970939,-0.10677043,0.043444813,0.098384285,-0.084449214,0.12381146883070876,-0.097276784,0.1853778492535763,0.086032724,-0.173835719,0.3277912245478162,0.087562151,0.07961062,0.22787764258706453,0.15566222721527384,-0.06358093,0.14463772487366533,0.16558260755474793,-0.061192614,0.12896521656782223,0.2696340794014704,-0.061140785,-0.350690023,-0.009707872,-0.11388718,0.20298977445951447,0.24340936777630107,-0.061130695,0.27817478819376357,0.34559200088445524,-0.091794652,0.17570592911852506,0.20882573341469446,0.17675714936619127,-0.031573975,-0.127689034,0.245769387,0.034953108367866526,0.3646122453169068,0.073249775,0.42379829416057097,0.17720907907887284,0.1649344643197562,0.18412028542514197,0.015295004415800902,0.18419982318578965,0.089217673,-0.102485004,0.20497425577722408,0.17581544781048342,-0.244117317,-0.109345225,0.21364033824834563,0.21537222364808373,-0.097242497,0.1336998360167394,0.2939039794969924,0.037354234437807624,0.018685421816505787,0.16836265796869493,-0.039085786
9,14,18.1,8,1,0.5,487605,200000,-0.032612037,-0.020153258,-0.02230437,-0.024657288,0.11729552654192421,0.15269442484967846,-0.077289966,0.095828014,0.005738993,0.025585017,-0.067585158,-0.047096324,0.081227555,0.12010830022887092,0.256045562,0.035051327,0.20159258389325357,-0.041809279,0.25279642625146265,0.019066859,0.045961974,0.043941185,0.26047489185515044,-0.013869599,0.14479612563560726,0.088114222,0.17798298991973077,-0.061445116,0.048782647517972594,0.020069722404024992,0.039830304,0.3402677569396888,-0.129978322,-0.144978236,-0.029282306,-0.059967208,0.084645455,-0.051140349,0.041281776,-0.071914603,-0.027839357,0.10884464136592151,0.064005031,0.13642052739425065,-0.042729315,0.072612911,0.081597527,0.1145435710311615,-0.157821001,0.18096422235055304,0.15293113041883394,-0.141155848,0.043073167496681206,0.23583990566796165,-0.234788724,-0.137766303,-0.028893776,0.069180854,0.16444975993879743,0.2410292908520874,-0.039082223,0.091318721,0.029181841247825635,-0.110052554,0.20889453749131365,0.20656158024101795,-0.073143513,0.093151242,-0.171683431,0.00841407,-0.066501513,0.16714646317749346,0.1062485235642525,0.054694583,-0.006435862,0.21938834291553883,0.15869640062821672,-0.13268116,0.10456251232415614,-0.074055568,-0.081342971,0.15437124707045954,0.21746497801337003,-0.190418809,-0.077888828,0.12534891012742672,0.061881784,-0.165389466,0.14194307432293407,0.080029615,-0.086911421,-0.045473593,0.062924888,-0.053478322
