M_6_2.4.Dihydroxybutanoic.acid.,M_27_2.Hydroxybutyric.acid,M_22_3.4.Dihydroxybutanoic.acid,M_25_3.Hydroxybutyric.acid,M_28_Alanine,M_30_Arachidonic.acid,M_8_Aspartic.acid,M_19_Cholesterol,M_9_Citric.acid,M_2_Glutamic.acid..3TMS,M_21_Glyceric.acid,M_10_Glycine,M_26_Isoleucine,M_23_Leucine,M_14_Linoleic.acid,M_4_Methionine,M_13_Oleic.acid,M_1_Ornithine,M_11_Palmitic.acid,M_3_Phenylalanine,M_12_Proline,M_24_Serine,M_17_Stearic.acid,M_5_Threonine,M_16_Tyrosine,M_20_Valine,M_212_11.Eicosenoic.acid,M_162_1H.Indole.3.acetic.acid,M_313_1.Monooleoylglycerol,M_54_1.Octadecanol,M_1030_2.3.Dihydroxybutanoic.acid,M_165_2.aminobutyric.acid,M_5856_2.Butenedioic.acid,M_127_2.Ethyl.3.hydroxypropionic.acid,M_210_2.Oxoisovaleric.acid,M_220_3.4.5.Trihydroxypentanoic.acid,M_63_4..1.1.3.3..tetramethylbutyl.phenol,M_96_4.Methyl.2.oxovaleric.acid,M_183_Acetic.acid,M_119_Alpha.ketoglutaric.acid,M_44_Aminomalonic.acid,M_99_Arabinitol,M_86_Arabinofuranose,M_946_Butane..1.2.3.trishydroxy,M_47_Creatinine,M_304_Decanoic.acid,M_51_D.Fructose,M_120_d.Galactose,M_1032_d.Galactose,M_177_d.Glucose,M_242_D.Xylopyranose,M_937_Erythritol,M_39_Erythronic.acid,M_81_Ethanolamine,M_88_Galactonic.acid,M_108_Glucopyranose,M_233_Glucopyranose,M_362_Glucopyranose,M_62_Glycerol,M_50_Glycerol.2.phosphate,M_958_Glycoside..?.methyl,M_46_Hexadecanoic.acid..2.3.dihydroxy,M_75_Hydrocinnamic.acid,M_31_Lactic.acid,M_76_Lauric.acid,M_230_L.Cysteine,M_159_Levoglucosan,M_211_Linolenic.acid,M_64_L.Proline..5.oxo,M_303_L.Proline..5.oxo,M_140_l.Threonine,M_208_L.Tryptophan,M_318_Malic.acid,M_274_monostearin,M_98_Myo.Inositol,M_116_Myristic.acid,M_83_Nonanoic.acid,M_265_Octanoic.acid,M_181_Palmitelaidic.acid,M_279_Pentitol..3.desoxy,M_234_Phenylalanine..dl,M_132_Phosphoric.acid.monomethyl.ester,M_103_Proline..4.hydroxy,M_200_Proline..4.hydroxy...trans.,M_191_Pyruvic.acid,M_65_Ribonic.acid,M_932_Ribonic.acid,M_123_Tryptophan,M_71_Tyrosine,M_1035_Urea,M_938_Xylitol,M_250_alpha.Hydroxyvaleric.acid,M_43_beta.D.Galactofuranose,M_298_beta.Hydroxyisovaleric.acid
4.035394909,142.0495752,3.496972205,96.32628753,372.2003966,29.21828284,7.287753569,1562.381137,36.84435619,186.6657543,13.0596587,139.3899028,105.7813016,260.5829585,147.3631537,58.44559122,285.9600167,322.0768608,319.5669466,101.2127449,329.2394105,388.5050909,181.7439148,194.35863,546.8550509,226.3764405,40.89,15.67,10.34,7.29,91.27,188.92,9.02,35.28,172.99,31.14,44.89,612.37,157.98,51.18,403.09,113.2,26.72,9.76,486.52,3.458428639,1803.93,22.44,58.44,104525.49,60.97,25.74,80.1,81.25,18.86,12714.94,1676494.65,0.462414418,2258.66,24.18,1.921312225,51.91,11.89,929.8997809,77.56,12.47,15.05,101.92,2856.39,17.23,475.87,30.41,1.857509864,19.91,1099.88,296.31,109.27,76.02,567.09,3.1,16.3,380.86,43.62,31.05,1255.25,13.12,13.82,190.63,327.01,56421.42,34.43,228.03,500.04,72.2
3.902176921,112.1245159,3.874423173,112.8161287,381.8460733,24.33762094,9.917355372,967.3089357,58.65671473,102.9286985,23.63685099,193.2862662,66.74290361,190.6787629,177.3178746,37.20930233,456.8742254,99.64109432,420.4025025,113.0496196,356.5997857,381.9836965,195.7227738,264.4504141,334.9154663,175.4901124,52.2,28.29,19.12,13.86,60.85,102.72,11.75,44.68,8.12121995,7.209805933,52.17,51.91,314.6,5.094092255,341.35,117.36,21.51,13.38,462.48,34.17,10427.72,16.21,38.95,75800.14,494.49,48.07,410.53,62.04,49.52,10.68796834,19.63,1.750393325,3051.41,30.35,18.7,59.55,21.94,759.6012576,86.67,0.96375703,9.33,112.26,2111.13,8.52,653.37,7.8,310.93,18.61,1616.41,406.84,198.32,60.57,947.86,2.67,20.75,190.42,56.19,37.21,12.66595615,668.78,43.77,101.76,284.18,47522.62,15.33,176.73,120.52,37.35
4.751441599,55.99501783,3.258289975,144.0539714,227.8445018,21.59840692,6.010518407,1092.590198,49.71107994,25.39573925,14.27889536,129.4791528,48.7408198,145.4956672,180.8764983,67.6943011,313.5036032,216.604495,284.0034667,92.43497387,156.0786357,339.7976338,121.207136,205.5070517,696.1752856,143.952198,49.5,17.05,8.81,6.96,5.061195526,115.34,11.79,32.1,72.97,94.81,69.27,216.46,115.72,34.7,655.49,152.88,17.58,10.87,536.71,10.96,1945.66,34.13,51.94,88252.16,39.86,45.42,81.33,54.72,75.99,6660.33,7246.29,0.854589543,3582.54,26.35,51.83,40.06,20.72,383.7867719,57.91,18.21,21.35,162.07,2532.79,32.06,498.07,23.48,2.667602189,15.09,1500.96,364.33,141.91,20.43,1027.01,1.081060853,11.97,319.31,37.06,21.73,256.91,30.49,21.96,73.18,396.99,42755.91,13.99,78.89,249.13,3.699983484
7.643382105,89.79438929,3.130622736,123.8883366,500.6173532,21.61592388,13.63886802,685.6795552,56.91130965,79.69070754,16.08889618,121.7352693,62.82940713,193.138675,174.8598807,64.91522016,313.4115552,232.6253585,334.2327548,119.2646851,365.3029908,463.1649063,131.8160706,212.9225431,677.6864065,184.6521554,48.35,19.99,23.58,8.05,4.306432843,217.39,7.29,25.21,114.12,91.75,33.86,406.08,137.53,57.56,539.3,329.6,25.03,76.29,481.79,33.54,1538.56,3.72,76.26,118662.17,47.08,94.67,118.67,68.43,128.9,9349.34,9459.73,1.175177771,4540.23,30.67,162.31,43.32,24.97,718.8823369,66.32,14.41,11.41,192.76,3037.6,32.43,699.71,23.92,1.875743617,12.57,2087.94,510.15,52.49,62.36,993.55,3.31,12.43,323.18,31.4,15.88,891.1,59.39,31.37,78.89,374.22,48267.11,1.754813889,220.32,246.32,27.61
4.401744379,165.1417566,3.596885696,128.3902233,339.4021027,11.42762426,22.07362885,772.7315833,44.25278532,140.4133023,21.33664161,126.7883309,75.18487459,225.4529745,174.2251763,50.10834841,381.9613347,146.2609998,351.0304479,102.9723349,305.9497959,408.0883053,117.9543856,186.8871726,522.4313336,212.5309432,21.21,12.24,13.12,7.79,25.68,155.1,20.12,24.06,86.64,39.52,108.61,347.5,193.51,58.9,393.01,141.08,23.08,22.22,544.41,13.89,3630.83,13.71,39.4,42038.57,58.83,35.48,108.74,61.8,94.3,10372.76,8229.3,0.757343931,4262.19,16.81,1.200585563,36.86,24.2,975.1130574,69.52,6.64,18.51,159.51,2014.94,14.19,420.24,9.58,1.583101926,1.972478443,1521.5,420.11,210.66,4.98261818,1175.47,3.67,20.05,135.53,49.38,27.88,580.1,43.95,21.15,159.95,573.25,39938.9,2.934334357,164.28,619.52,3.94125134
3.125071986,144.5598733,3.580233448,693.1624794,311.348075,24.613513,13.88930629,844.1139704,68.11937807,96.30947493,11.19309535,172.0527508,72.43526213,177.352545,301.565426,74.92795389,689.0994663,283.4421652,551.6694154,135.4319269,182.2287849,446.5505757,204.0304109,226.9252295,614.0920213,177.4647887,70.89,15.66,21.38,13.56,30.13,101.3,23.67,40.65,109.17,25.35,62.06,322.35,180.69,60.13,601.87,101.57,42.28,33.32,282.43,71.13,1289.59,26.34,39.64,2253745.42,73.8,19.82,79.62,84.28,58.25,11683.19,10523.35,353.42,7335.56,43.11,32.4,48.58,5.77,771.3418204,186.43,2.63,6.4,349.13,2132.26,1.172381157,649.07,11.26,509.84,15.37,1109.55,870.16,122.19,4.472683781,1657.67,2.72,18.69,312.08,45.27,17.73,519.46,21.6,8.27,61.82,313.94,36045.5,20.04,76.54,423.01,39.64
3.008506246,90.34511797,2.170343067,77.23009092,348.471583,9.93649337,10.25795141,646.9675417,40.91118473,81.4242051,9.590490457,119.5239998,91.73337399,226.7896623,113.7523452,48.47753725,202.7675286,189.7534068,233.0384183,88.9561515,190.1213121,287.2331652,105.0230622,177.098724,457.2290597,211.5179969,17.47,12.21,64.11,15.75,5.089966445,109.03,7.34,14.08,131.51,21.66,68.95,440.57,13.97498445,42.08,396.13,117.79,28.96,2.048967877,246.53,12.82,796.22,12.71,58.48,74960.62,50.47,18.24,60.69,64.09,103.6,6909.73,7829.49,0.85211852,1601.31,18.57,1.511545202,35.04,12.35,674.8884673,72.78,13.81,8.71,102.89,1669.93,13.19,320.42,20.52,1.856058386,1.958035424,1088.64,272.8,78.7,3.464705086,427.46,0.068132367,9.26,135.29,23.6,1.898361407,899.05,16.93,15.31,102.36,189.9,32110.55,13.96,150.36,166.14,21.96
4.573817614,135.6457534,5.378676296,217.883633,469.6673776,18.51323302,16.44377661,813.0919436,58.00435657,194.6626523,17.25785504,165.0725989,64.15592996,177.4186171,172.922487,75.69644573,323.7468907,274.7255242,298.5964788,118.5261416,255.1782043,482.6402766,110.3849447,211.3666891,742.0313851,188.6754873,22.7,18.22,5.88,7.59,78.34,158.34,15.9,38.26,132.46,37.01,65.81,308.18,437.01,74.27,656.65,158.93,27.56,14.32,444.27,12.16,1754.53,27.0,95.4,76634.66,56.31,36.61,119.34,62.79,109.71,11466.88,11070.03,383.24,4671.68,16.38,22.98,36.14,20.55,746.5978469,61.15,13.33,20.55,169.83,3034.71,39.72,439.9,38.03,2.408431903,2.140623571,1798.13,488.44,84.13,74.7,1179.88,4.5,10.81,104.14,25.86,12.12,570.42,30.07,25.75,116.09,383.67,31236.84,17.26,69.93,413.66,37.99
3.580233448,82.60930123,2.569997033,97.82478183,159.9655779,35.48716352,13.94941147,1753.384198,50.30791826,42.8538844,13.72583955,159.7442387,71.05791467,196.7828009,240.7597911,44.75124545,420.9448323,150.427635,364.4067257,70.0082733,263.6150439,393.8782631,174.2119697,157.9023953,273.9702338,200.2959169,51.39,18.76,2.446307499,6.99,22.68,100.85,10.52,27.15,6.973348424,52.26,66.17,426.54,15.5323288,52.94,414.71,124.59,22.11,13.65,460.35,13.07,2474.03,7.13,27.53,87946.33,32.39,27.74,98.58,110.28,87.4,7713.68,6319.23,0.784593619,4467.41,40.96,1.660968409,75.0,21.39,841.827406,76.6,7.58,18.0,275.75,2748.64,1.306681368,603.73,15.63,2.050523501,31.12,1590.55,364.78,36.52,50.12,906.67,3.02,11.78,324.11,36.12,15.39,402.41,15.81,18.44,122.42,422.58,51593.31,16.58,371.01,202.24,3.351051173
7.82100609,324.4048048,11.52335603,237.7354805,463.8305833,20.89553906,12.99273729,1058.0025,47.56662598,103.0153734,28.16185304,160.4635673,93.4207517,270.0261747,226.142572,75.64729799,446.574293,287.7903971,387.1736965,135.2382105,425.4784447,462.8413741,132.6855017,253.3859413,541.7664698,194.2410016,36.11,29.36,42.33,7.45,5.649650366,175.04,10.17,82.22,115.58,49.77,12.81,630.77,255.45,77.76,410.84,159.31,20.99,18.69,739.08,3.600150067,1472.88,33.22,66.57,115580.87,43.07,78.56,166.03,88.97,78.34,11490.91,10065.75,420.99,4128.44,23.04,53.89,64.29,23.06,1106.860546,44.89,14.31,16.03,144.72,2484.99,9.81,948.23,18.86,297.48,16.17,2632.16,487.76,49.16,57.75,631.68,5.82,21.32,223.8,24.48,0.941794846,1606.81,17.78,22.74,216.99,401.73,72212.26,21.72,239.28,254.57,17.83
